id,startdate,submitdate,lastpage,treatment,willingnessjobrec1,willingnessjobrec2,paffect1,paffect2,paffect3,paffect4,paffect5,paffect6,naffect1,naffect2,naffect3,naffect4,naffect5,naffect6,turnover1,turnover2,turnover3,prosocialimpact1,prosocialimpact2,prosocialimpact3,manipulationcheck,taskvariety1,taskvariety2,taskvariety3,taskvariety4,taskvariety5,taskanalyz1,taskanalyz2,taskanalyz3,taskanalyz4,attention1,autonomy1,autonomy2,autonomy3,beneficiaries1,beneficiaries2,attention2,manager,gender,yearbirth,educator,sector,subsector,atwork,duration_treatment_general,duration_treatment_prosocial,duration_treatment_societal
80,2017-12-11T17:22:57Z,2017-12-11T17:30:08Z,11,3,4,2,5,6,5,6,3,5,1,1,1,1,1,1,7,1,7,7,7,6,2,3,2,2,3,3,3,4,3,5,3,7,7,2,6,6,1,2,0,1983,0,1,3,1,,121.56,
81,2017-12-11T17:25:47Z,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2017-12-11T17:26:17Z,2017-12-11T17:38:29Z,11,3,4,1,6,6,6,6,5,6,1,1,1,1,1,1,6,2,2,6,6,6,2,2,2,3,3,2,2,3,2,3,3,6,6,6,7,7,1,1,1,1978,1,3,5,0,,111.27,
83,2017-12-11T17:30:02Z,2017-12-11T17:34:31Z,11,3,3,2,3,4,4,4,5,3,4,3,3,5,4,6,4,2,1,4,5,4,1,3,3,2,4,3,3,2,4,3,3,4,4,5,5,5,1,0,0,1977,1,1,2,1,,170.95,
84,2017-12-11T17:30:20Z,2017-12-11T17:34:28Z,11,1,3,2,3,3,3,3,3,3,5,5,5,6,2,2,3,5,4,3,2,5,,3,2,2,3,4,3,4,4,4,3,3,3,3,6,6,1,1,0,1970,1,1,2,0,,,
85,2017-12-11T17:35:35Z,2017-12-11T17:41:04Z,11,3,3,1,5,3,5,4,3,3,2,1,1,3,1,1,5,4,4,6,6,6,2,3,3,2,2,3,4,4,4,3,3,5,5,5,6,6,1,0,1,1978,1,1,1,0,,114.13,
86,2017-12-11T17:36:13Z,2017-12-11T17:41:37Z,11,4,4,1,6,7,6,5,5,7,1,1,1,1,1,1,7,1,1,7,7,6,2,4,4,4,4,4,4,4,4,5,3,5,2,7,7,7,1,0,1,1986,1,1,4,1,,,115.37
87,2017-12-11T17:38:56Z,2017-12-11T17:44:13Z,11,1,4,2,7,7,7,7,,7,1,1,1,1,1,1,7,1,2,7,7,7,,2,2,2,3,3,4,5,4,3,3,7,7,7,6,6,1,0,1,1952,1,3,1,1,,,
88,2017-12-11T17:40:24Z,2017-12-11T17:45:20Z,11,3,4,2,5,5,3,3,4,5,3,5,4,3,3,1,4,1,5,6,6,6,2,3,3,3,3,3,4,4,4,4,3,6,6,6,6,6,1,0,1,1994,0,3,0,1,,108.61,
89,2017-12-11T17:44:42Z,2017-12-11T17:50:57Z,11,4,4,1,6,6,6,6,6,6,1,1,1,1,1,1,1,1,6,6,6,6,3,3,2,2,3,3,3,4,3,3,3,5,5,5,6,6,1,1,1,1982,1,1,1,0,,,99.28
90,2017-12-11T17:45:12Z,2017-12-11T17:51:09Z,11,4,4,2,4,5,4,4,3,3,2,2,2,3,3,1,3,4,5,6,6,6,3,3,4,3,3,4,4,4,4,4,3,5,5,5,7,7,1,1,1,1976,1,3,5,0,,,126.78
91,2017-12-11T17:45:25Z,2017-12-11T17:51:53Z,11,4,4,2,6,6,6,6,3,6,2,2,2,,2,2,6,2,2,6,6,7,3,3,4,3,3,3,4,4,5,4,3,5,5,5,6,6,1,1,1,1975,1,1,1,0,,,142.95
92,2017-12-11T17:48:31Z,2017-12-11T18:01:09Z,11,2,5,1,7,7,7,7,7,7,1,1,1,1,1,1,7,1,1,7,7,7,1,5,5,5,5,5,1,4,5,5,3,7,7,7,7,7,1,4,0,1984,0,3,0,1,390.85,,
93,2017-12-11T17:54:14Z,2017-12-11T17:56:54Z,11,1,4,2,6,6,7,5,5,7,1,2,1,1,1,1,5,2,1,5,6,5,,2,2,2,2,3,3,3,3,3,3,6,6,4,7,7,1,3,0,1990,0,3,3,0,,,
94,2017-12-11T17:58:10Z,2017-12-11T18:05:10Z,11,4,1,5,4,5,4,4,3,6,3,2,3,2,2,5,1,7,7,2,3,5,3,3,3,3,2,3,2,1,1,1,3,6,6,6,5,5,1,1,1,1991,1,1,4,0,,,180.85
95,2017-12-11T17:59:36Z,2017-12-11T18:04:37Z,11,3,3,4,4,5,6,4,6,5,3,2,2,4,2,2,4,5,5,6,6,6,2,3,3,4,3,3,4,5,4,4,3,6,6,6,6,6,7,4,1,1993,1,1,3,0,,95.42,
96,2017-12-11T18:00:32Z,2017-12-11T18:03:21Z,11,1,4,2,6,7,5,7,6,5,2,2,3,2,2,2,6,3,3,6,6,7,,5,5,5,5,5,5,4,4,5,3,5,5,5,5,5,1,3,0,1984,1,1,5,1,,,
97,2017-12-11T18:03:52Z,2017-12-11T18:15:01Z,11,3,5,1,7,7,7,7,7,7,1,1,1,2,1,1,7,1,1,7,7,7,2,1,2,2,3,3,5,5,5,5,3,7,7,7,7,7,1,1,1,1954,1,1,1,1,,304.28,
98,2017-12-11T18:04:41Z,2017-12-11T18:13:50Z,11,2,4,3,6,6,6,6,6,5,1,1,1,1,1,4,3,5,6,5,6,5,1,3,3,3,2,2,3,2,3,2,3,2,5,3,5,5,1,0,1,1991,1,1,5,0,179.46,,
